sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,label
0.0068,0.0215,0.0078,0.0088,0.0088,0
0.0159,0.0156,0.0068,0.0088,0.0088,0
0.0078,0.0205,0.0347,0.0068,0.0078,0
0.0149,0.0147,0.0068,0.0583,0.0078,0
0.0078,0.0196,0.0078,0.0567,0.0068,0
0.0049,0.0166,0.0236,0.0078,0.0078,0
0.0168,0.0225,0.0098,0.0068,0.0098,0
0.0078,0.0352,0.0127,0.0068,0.0088,0
0.0156,0.0225,0.0098,0.0567,0.0098,0
0.0068,0.0215,0.0088,0.0088,0.0098,0
0.0059,0.0186,0.0398,0.0587,0.0088,0
0.0196,0.0342,0.0108,0.0068,0.0098,0
0.0078,0.0186,0.0068,0.0078,0.0068,0
0.0059,0.0147,0.0068,0.0088,0.0078,0
0.0068,0.0215,0.0134,0.0078,0.0059,0
0.0159,0.0166,0.0068,0.0078,0.0078,0
0.0068,0.0166,0.0059,0.0088,0.0098,0
0.0127,0.0274,0.0420,0.0626,0.0137,0
0.0156,0.0068,0.0547,0.0381,0.0059,0
0.0078,0.0323,0.0137,0.0068,0.0098,0
0.0156,0.0068,0.0547,0.0381,0.0059,0
0.0068,0.0186,0.0078,0.0098,0.0088,0
0.0127,0.0352,0.0127,0.0068,0.0088,0
0.0166,0.0186,0.0088,0.0088,0.0068,0
0.0068,0.0196,0.0245,0.0078,0.0078,0
0.0068,0.0215,0.0088,0.0088,0.0098,0
0.0059,0.0147,0.0078,0.0068,0.0088,0
0.0127,0.0274,0.0420,0.0626,0.0137,0
0.0196,0.0342,0.0108,0.0068,0.0098,0
0.0059,0.0186,0.0059,0.0068,0.0078,0
0.0068,0.0215,0.0311,0.0088,0.0098,0
0.0059,0.0156,0.0068,0.0088,0.0088,0
0.0068,0.0205,0.0078,0.0078,0.0078,0
0.0068,0.0283,0.0088,0.0068,0.0117,0
0.0078,0.0196,0.0078,0.0088,0.0068,0
0.0078,0.0205,0.0068,0.0078,0.0078,0
0.0049,0.0166,0.0059,0.0078,0.0068,0
0.0059,0.0186,0.0068,0.0078,0.0098,0
0.0078,0.0215,0.0325,0.0078,0.0078,0
0.0059,0.0166,0.0078,0.0098,0.0098,0
0.0068,0.0205,0.0078,0.0078,0.0078,0
0.0059,0.0166,0.0078,0.0088,0.0078,0
0.0059,0.0166,0.0068,0.0088,0.0068,0
0.0078,0.0215,0.0078,0.0078,0.0078,0
0.0059,0.0196,0.0068,0.0088,0.0068,0
0.0068,0.0196,0.0078,0.0108,0.0098,0
0.0049,0.0166,0.0059,0.0078,0.0068,0
0.0078,0.0186,0.0088,0.0088,0.0068,0
0.0078,0.0205,0.0391,0.0068,0.0078,0
0.0059,0.0156,0.0068,0.0088,0.0088,0
0.0068,0.0323,0.0117,0.0078,0.0117,0
0.0059,0.0186,0.0068,0.0088,0.0108,0
0.0078,0.0196,0.0068,0.0068,0.0068,0
0.0078,0.0186,0.0421,0.0078,0.0068,0
0.0049,0.0166,0.0068,0.0078,0.0078,0
