sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,label
0.0078,0.0127,0.0068,0.0059,0.0039,0
0.0078,0.0127,0.0078,0.0059,0.0039,0
0.0078,0.0137,0.0068,0.0059,0.0039,0
0.0068,0.0127,0.0137,0.0059,0.0049,0
0.0078,0.0137,0.0068,0.0059,0.0049,0
0.0078,0.0156,0.0068,0.0059,0.0049,0
0.0088,0.0166,0.0068,0.0059,0.0049,0
0.0088,0.0166,0.0068,0.0049,0.0049,0
0.0088,0.0147,0.0068,0.0049,0.0049,0
0.0088,0.0147,0.0068,0.0049,0.0039,0
0.0098,0.0176,0.0068,0.0039,0.0039,0
0.0108,0.0156,0.0059,0.0049,0.0039,0
0.0108,0.0156,0.0059,0.0049,0.0039,0
0.0108,0.0147,0.0059,0.0049,0.0039,0
0.0108,0.0147,0.0059,0.0049,0.0039,0
0.0117,0.0147,0.0059,0.0049,0.0049,0
0.0108,0.0137,0.0059,0.0049,0.0049,0
0.0078,0.0127,0.0059,0.0049,0.0039,0
0.0078,0.0127,0.0049,0.0059,0.0049,0
0.0078,0.0127,0.0059,0.0049,0.0049,0
0.0078,0.0127,0.0059,0.0049,0.0049,0
0.0078,0.0127,0.0049,0.0049,0.0039,0
0.0068,0.0127,0.0059,0.0059,0.0039,0
0.0059,0.0127,0.0059,0.0059,0.0039,0
0.0068,0.0127,0.0059,0.0059,0.0029,0
0.0078,0.0127,0.0059,0.0059,0.0039,0
0.0078,0.0127,0.0059,0.0059,0.0039,0
0.0068,0.0127,0.0059,0.0059,0.0039,0
0.0068,0.0127,0.0059,0.0059,0.0039,0
0.0078,0.0117,0.0059,0.0049,0.0039,0
0.0078,0.0117,0.0059,0.0059,0.0039,0
0.0078,0.0137,0.0049,0.0049,0.0039,0
0.0078,0.0127,0.0059,0.0059,0.0039,0
0.0068,0.0108,0.0049,0.0059,0.0039,0
0.0078,0.0117,0.0049,0.0059,0.0029,0
0.0078,0.0127,0.0059,0.0049,0.0029,0
0.0078,0.0127,0.0059,0.0049,0.0029,0
0.0078,0.0137,0.0049,0.0049,0.0029,0
0.0078,0.0137,0.0059,0.0049,0.0029,0
0.0078,0.0137,0.0059,0.0049,0.0029,0
0.0068,0.0127,0.0059,0.0049,0.0029,0
0.0078,0.0137,0.0059,0.0049,0.0029,0
0.0068,0.0147,0.0059,0.0049,0.0029,0
0.0068,0.0147,0.0059,0.0049,0.0029,0
0.0078,0.0147,0.0059,0.0049,0.0029,0
0.0078,0.0137,0.0068,0.0049,0.0029,0
0.0068,0.0137,0.0059,0.0049,0.0029,0
0.0068,0.0127,0.0059,0.0049,0.0029,0
0.0068,0.0127,0.0059,0.0049,0.0029,0
0.0068,0.0127,0.0059,0.0049,0.0029,0
0.0068,0.0,0.0049,0.0029,0.002,1
0.0088,0.0,0.0049,0.0039,0.002,1
0.0088,0.001,0.0059,0.0049,0.0029,1
0.0108,0.001,0.0049,0.0049,0.0029,1
0.0088,0.0,0.0059,0.0068,0.0029,1
0.0088,0.0,0.0049,0.0059,0.0049,1
0.0117,0.0,0.0039,0.0059,0.0029,1
0.0098,0.0,0.0029,0.0068,0.0029,1
0.0078,0.001,0.0029,0.0068,0.0029,1
0.0068,0.0,0.0039,0.0059,0.002,1
0.0039,0.0,0.0039,0.0049,0.0029,1
0.0039,0.0,0.0029,0.0068,0.0039,1
0.0049,0.0,0.0039,0.0068,0.0049,1
0.0039,0.001,0.0039,0.0049,0.0049,1
0.0049,0.001,0.0039,0.0049,0.0039,1
0.0049,0.0,0.0039,0.0049,0.0039,1
0.0049,0.0,0.0029,0.0039,0.0029,1
0.0049,0.001,0.002,0.0039,0.0029,1
0.0039,0.001,0.0039,0.0029,0.0029,1
0.0059,0.0,0.0049,0.0039,0.002,1
0.0068,0.0,0.0039,0.0039,0.0029,1
0.0078,0.0,0.0049,0.0039,0.0029,1
0.0088,0.0,0.0039,0.0039,0.0029,1
0.0068,0.0,0.0039,0.0039,0.002,1
0.0088,0.0,0.0039,0.0049,0.0029,1
0.0059,0.0,0.0039,0.0049,0.0029,1
0.0068,0.0,0.0039,0.0059,0.0029,1
0.0039,0.0,0.0039,0.0059,0.0029,1
0.0059,0.001,0.0049,0.0059,0.002,1
